Date : 2022-04-23 11:52:28
Directory : /Users/danielspaude/code/boxtribute/boxtribute/react
Total : 146 files,  -5657 codes, -1498 comments, -1446 blanks, all -8601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/endpoint_tests/test_user.py                                  | Python             |        -18 |        -12 |         -7 |        -37 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/__init__.py                                | Python             |          0 |          0 |         -1 |         -1 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/conftest.py                                | Python             |        -12 |         -5 |         -5 |        -22 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/test_jwt.py                                | Python             |        -61 |         -7 |        -13 |        -81 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/integration_tests/test_operations.py                         | Python             |        -69 |        -29 |        -19 |       -117 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/conftest.py                                      | Python             |        -13 |         -5 |         -4 |        -22 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/test_all.py                                      | Python             |        -46 |         -4 |        -14 |        -64 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/model_tests/test_crud.py                                     | Python             |        -85 |        -13 |        -17 |       -115 |
| /Users/danielspaude/code/boxtribute/boxtribute/back/test/utils.py                                                     | Python             |        -33 |        -25 |        -14 |        -72 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/.dockerignore                                                    | Ignore             |          7 |          0 |          1 |          8 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/.prettierignore                                                  | Ignore             |          2 |          0 |          0 |          2 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/.prettierrc                                                      | JSON               |          4 |          0 |          1 |          5 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/Dockerfile                                                       | Docker             |          6 |          4 |          4 |         14 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/README.md                                                        | Markdown           |         37 |          0 |         26 |         63 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/codegen.yml                                                      | YAML               |         10 |          0 |          2 |         12 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/craco.config.js                                                  | JavaScript         |          3 |          2 |          1 |          6 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/package.json                                                     | JSON               |         77 |          0 |          1 |         78 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/ApolloWrapper.tsx                                            | TypeScript React   |         50 |          3 |         10 |         63 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/App.tsx                                                      | TypeScript React   |         58 |          0 |          7 |         65 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/Auth0ProviderWithHistory.tsx                                 | TypeScript React   |         24 |          2 |          7 |         33 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/GlobalPreferencesProvider.tsx                                | TypeScript React   |         40 |          0 |         12 |         52 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/Layout.tsx                                                   | TypeScript React   |         13 |          0 |          3 |         16 |
| /Users/danielspaude/code/boxtribute/boxtribute/react/src/components/HeaderMenu.tsx                                    | TypeScript React   |        149 |          0 |         13 |        162 |
